1,3,1.0,1,2761,NULL
2,1,0.264683811879,2,2761,NULL
2,2,0.589174525539,2,1071,NULL
2,3,0.497918471426,2,1793,NULL
2,4,0.57869945049,2,5198,NULL
3,4,1.0,3,2761,NULL
4,2,0.286789388359,4,2761,NULL
4,1,0.510389273092,4,3954,NULL
4,4,0.509439672174,4,1786,NULL
4,5,0.630655101504,4,2633,NULL
5,2,0.796020172618,5,6355,NULL
5,3,0.605270092425,5,1104,NULL
6,1,0.295004163407,6,2761,NULL
6,2,0.685750687797,6,4339,NULL
6,3,0.665370977545,6,1599,NULL
7,1,0.733532976709,7,2761,NULL
7,3,0.679653861962,7,3431,NULL
8,3,0.369313851078,8,2761,NULL
8,1,0.705473451912,8,2823,NULL
8,2,0.604908660915,8,4691,NULL
9,1,0.295004163407,6,2761,NULL
9,2,0.685750687797,6,4339,NULL
9,3,0.665370977545,6,1599,NULL
10,2,0.65586896503,10,6355,NULL
10,1,0.754874758294,10,2784,NULL
11,1,0.361466929004,11,2761,NULL
11,2,0.690484046056,11,2823,NULL
11,3,0.626556814166,11,5840,NULL
12,1,0.428277883577,12,2761,NULL
12,2,0.903647085116,12,6386,NULL
13,1,0.435844293469,13,2761,NULL
13,2,0.90002208409,13,1369,NULL
14,1,0.305208180879,14,2761,NULL
14,2,0.679379988838,14,3387,NULL
14,3,0.667301129244,14,5082,NULL
15,1,1.0,15,2761,NULL
16,1,0.290730825901,16,2761,NULL
16,4,0.269376203782,16,3431,NULL
16,2,0.424179346042,16,1553,NULL
16,5,0.445387324738,16,1212,NULL
16,3,NULL,16,NULL,26
17,1,0.21321043651,17,2761,NULL
17,2,0.415326081089,17,6048,NULL
17,3,0.445862752031,17,885,NULL
17,4,0.458678525641,17,1190,NULL
17,5,0.458678525641,17,1297,NULL
17,6,0.403088058261,17,280,NULL
18,3,0.288154742082,18,2761,NULL
18,5,0.703255123781,18,2352,NULL
18,6,0.649922361126,18,4864,NULL
19,1,0.306080133807,19,2761,NULL
19,2,0.669207549877,19,3124,NULL
19,5,0.677108711269,19,5602,NULL
20,6,0.22589692978,20,2761,NULL
20,4,0.209304456111,20,3431,NULL
20,2,0.545226862909,20,2697,NULL
20,5,0.551312021332,20,4419,NULL
21,1,0.273720751937,21,2761,NULL
21,2,0.548648046801,21,1923,NULL
21,4,0.443298667638,21,3102,NULL
21,5,0.653871976743,21,3480,NULL
22,1,0.246239681347,22,2761,NULL
22,2,0.479665834077,22,6048,NULL
22,3,0.514933057601,22,885,NULL
22,4,0.529734171758,22,1190,NULL
22,6,0.40436661634,22,802,NULL
23,1,0.219779849177,23,2761,NULL
23,7,0.203636684399,23,3431,NULL
23,2,0.428123055115,23,6048,NULL
23,3,0.459600618051,23,885,NULL
23,4,0.32223744122,23,3309,NULL
23,5,0.407610240144,23,4850,NULL
23,6,NULL,23,NULL,228
24,1,0.277991478343,24,2761,NULL
24,2,0.541517165699,24,6048,NULL
24,3,0.581331981698,24,885,NULL
24,4,0.539937981881,24,5657,NULL
25,1,0.224614385095,25,2761,NULL
25,6,0.367901681763,25,4691,NULL
25,2,0.49393113407,25,6104,NULL
25,4,0.411969654925,25,998,NULL
25,5,0.383774364441,25,5259,NULL
25,3,NULL,25,NULL,180
26,3,0.249563742595,26,2761,NULL
26,6,0.231232905467,26,3431,NULL
26,1,0.4231694403,26,4202,NULL
26,2,0.585108736065,26,75,NULL
26,4,0.602349295333,26,1034,NULL
27,5,0.196087316114,27,2761,NULL
27,1,0.411867384773,27,3799,NULL
27,2,0.452133639148,27,5900,NULL
27,3,0.426340477805,27,6463,NULL
27,4,0.44866375328,27,879,NULL
27,6,0.452133639148,27,3628,NULL
28,1,0.265959430647,28,2761,NULL
28,5,0.407438595263,28,1212,NULL
28,2,0.518079179741,28,6048,NULL
28,3,0.556170727934,28,885,NULL
28,4,0.430728983525,28,3102,NULL
29,1,0.295464147448,29,2761,NULL
