afghanistan,cyclone,1703.9935064935062,11
afghanistan,innondation,1364.4214285714286,13
afghanistan,ouragan,688.442838685862,43
afghanistan,seisme,2625.378758169935,17
afghanistan,typhon,2032.037554112554,10
algerie,cyclone,117.96666666666665,6
algerie,innondation,1316.625,1
algerie,inondation,24.0,1
algerie,ouragan,742.6590909090909,11
algerie,typhon,676.2731481481482,6
allemagne,cyclone,1150.2412337662336,44
allemagne,innondation,3623.4393090569556,51
allemagne,inondation,723.3472222222223,6
allemagne,ouragan,463.0035032868366,54
allemagne,seisme,913.7529761904761,14
allemagne,tremblement de terre,4826.583333333333,2
allemagne,typhon,1582.9721849834752,31
argentine,cyclone,287.0769230769231,2
argentine,innondation,1760.1333333333332,4
argentine,inondation,1767.3333333333333,1
argentine,ouragan,405.17724867724866,9
argentine,seisme,1700.3750000000002,8
argentine,typhon,488.3411796536796,6
australie,cyclone,1116.8022396650967,175
australie,innondation,2546.1077519379846,43
australie,inondation,28.0,1
australie,ouragan,347.1001443001443,30
australie,seisme,1081.3311649659863,28
australie,tremblement de terre,4826.583333333333,2
australie,typhon,1670.207832792208,32
autriche,cyclone,30.0,1
autriche,innondation,2629.0516563147,23
autriche,inondation,6575.055555555555,3
autriche,ouragan,220.71666666666667,6
autriche,seisme,953.532575757576,10
autriche,typhon,44.922619047619044,6
bahamas,cyclone,505.7674316424317,33
bahamas,innondation,969.4255952380952,4
bahamas,ouragan,996.3056603832309,107
bahamas,typhon,2730.3444444444444,2
bangladesh,cyclone,2266.0393668831166,88
bangladesh,innondation,1109.1433333333334,15
bangladesh,inondation,4851.416666666667,6
bangladesh,ouragan,708.0927318295738,19
bangladesh,seisme,700.3469135802469,9
bangladesh,typhon,3657.253613053614,13
belgique,cyclone,714.6255952380952,8
belgique,innondation,36.375,2
belgique,ouragan,2105.1124686716794,19
belgique,typhon,1798.173263888889,16
bermudes,cyclone,235.09201388888889,16
bermudes,innondation,63.916666666666664,1
bermudes,ouragan,880.9527649769585,31
bermudes,typhon,187.25,1
bresil,cyclone,166.8781512605042,17
bresil,innondation,2163.1366666666668,10
bresil,inondation,15.5,1
bresil,ouragan,680.8359542266518,43
bresil,seisme,857.5833333333334,2
bresil,tremblement de terre,9629.166666666666,1
bresil,typhon,830.0627513227513,15
cambodge,cyclone,191.0,4
cambodge,innondation,441.48333333333335,6
cambodge,inondation,2696.6666666666665,1
cambodge,ouragan,3670.0,2
cambodge,tremblement de terre,202.0,1
cambodge,typhon,392.66157407407405,18
canada,cyclone,931.412504488975,51
canada,innondation,2643.6880952380952,14
canada,ouragan,1135.7834494773517,82
canada,seisme,660.8608974358974,18
canada,tremblement de terre,435.0,1
canada,typhon,1417.054285714286,20
chili,cyclone,444.0933333333334,5
chili,innondation,37.0,2
chili,ouragan,826.7984693877551,14
chili,seisme,594.5231611481611,37
chili,typhon,410.6772727272728,5
chine,cyclone,1028.6355493934934,107
chine,innondation,1697.3845454545456,55
chine,inondation,3145.8125,8
chine,ouragan,1042.2506196999345,73
chine,seisme,1289.3803580463461,86
chine,tremblement de terre,3285.055555555555,3
chine,typhon,1733.8614280566462,345
colombie,cyclone,4833.686507936508,12
colombie,innondation,6359.686507936508,6
colombie,inondation,50.166666666666664,2
colombie,ouragan,573.962253968254,25
colombie,seisme,376.09413553113546,25
colombie,typhon,156.22222222222223,3
cuba,cyclone,871.7369929453263,63
cuba,innondation,418.3795093795094,11
cuba,ouragan,677.9989445027908,195
cuba,seisme,173.93333333333334,4
cuba,typhon,2453.8777777777777,5
dominique,cyclone,526.898660968661,30
dominique,innondation,499.74509803921575,17
dominique,ouragan,708.6346978557506,57
dominique,seisme,713.8651515151516,11
dominique,typhon,384.63,5
egypte,cyclone,187.54421768707485,7
egypte,innondation,74.75,1
egypte,ouragan,393.81396825396826,15
egypte,seisme,311.8666666666667,5
egypte,typhon,634.6928010261344,9
equateur,cyclone,2210.027777777778,6
equateur,innondation,75.0,1
equateur,inondation,69.33333333333333,1
equateur,ouragan,1330.6982065553495,14
equateur,seisme,549.8754969567469,36
equateur,tremblement de terre,202.0,1
equateur,typhon,864.65,3
espagne,cyclone,1120.2207287157285,35
espagne,innondation,1042.5694444444446,6
espagne,inondation,604.375,2
espagne,ouragan,1052.5793417366947,34
espagne,seisme,571.7740211640213,30
espagne,typhon,376.69022817460325,16
fidji,cyclone,960.1010017193689,49
fidji,ouragan,4535.96746031746,6
fidji,seisme,72.10714285714286,2
fidji,typhon,383.18650793650795,7
france,cyclone,954.9200773988551,503
france,innondation,1309.4321753173913,285
france,inondation,1626.7207792207794,11
france,ouragan,793.8197515021977,413
france,seisme,991.2684827280984,117
france,tremblement de terre,176.6875,4
france,typhon,1598.3436114355125,142
georgie,cyclone,166.6527777777778,12
georgie,innondation,760.2519841269841,6
georgie,ouragan,613.6453981342042,67
georgie,seisme,484.88888888888886,3
georgie,typhon,2730.3444444444444,2
grece,cyclone,1282.438666666667,25
grece,innondation,93.9,5
grece,inondation,1053.5,1
grece,ouragan,33.12,10
grece,seisme,541.0977225672877,23
grece,tremblement de terre,435.0,1
grece,typhon,966.7222222222222,2
grenade,cyclone,36.8125,4
grenade,innondation,27.0,1
grenade,ouragan,619.438955026455,24
grenade,seisme,1154.5622222222223,10
grenade,typhon,1681.3657407407409,3
guadeloupe,cyclone,1643.0139927973262,99
guadeloupe,innondation,108.94444444444444,12
guadeloupe,ouragan,674.627619706682,160
guadeloupe,seisme,52.75,1
guatemala,cyclone,1870.4027494331062,28
guatemala,ouragan,712.174052210416,33
