mexique,innondation,23
mexique,ouragan,383
mexique,seisme,49
mexique,typhon,13
monaco,cyclone,11
monaco,ouragan,22
monaco,seisme,3
monaco,typhon,11
myanmar,cyclone,26
myanmar,innondation,3
myanmar,ouragan,1
myanmar,seisme,1
myanmar,typhon,5
nepal,cyclone,15
nepal,innondation,14
nepal,inondation,2
nepal,ouragan,5
nepal,seisme,48
nepal,typhon,7
nicaragua,cyclone,13
nicaragua,inondation,1
nicaragua,ouragan,35
nicaragua,seisme,5
norvege,cyclone,7
norvege,ouragan,5
norvege,seisme,2
norvege,tremblement de terre,1
norvege,typhon,14
pakistan,cyclone,27
pakistan,innondation,79
pakistan,ouragan,27
pakistan,seisme,50
pakistan,typhon,12
panama,cyclone,12
panama,innondation,1
panama,ouragan,20
panama,seisme,4
panama,typhon,1
perou,cyclone,7
perou,innondation,4
perou,ouragan,9
perou,seisme,22
perou,tremblement de terre,1
perou,typhon,6
philippines,cyclone,80
philippines,innondation,27
philippines,inondation,1
philippines,ouragan,30
philippines,seisme,27
philippines,typhon,686
pologne,cyclone,2
pologne,innondation,12
pologne,ouragan,15
pologne,tremblement de terre,2
pologne,typhon,14
portugal,cyclone,17
portugal,innondation,3
portugal,ouragan,13
portugal,seisme,4
portugal,typhon,4
qatar,cyclone,5
qatar,inondation,1
qatar,ouragan,8
qatar,seisme,7
qatar,typhon,9
reunion,cyclone,226
reunion,innondation,61
reunion,inondation,4
reunion,ouragan,109
reunion,seisme,33
reunion,tremblement de terre,1
reunion,typhon,52
roumanie,cyclone,4
roumanie,innondation,8
roumanie,inondation,10
roumanie,ouragan,3
roumanie,seisme,3
roumanie,typhon,6
singapour,cyclone,21
singapour,innondation,1
singapour,inondation,1
singapour,ouragan,9
singapour,seisme,10
singapour,typhon,34
suisse,cyclone,47
suisse,innondation,13
suisse,inondation,9
suisse,ouragan,45
suisse,seisme,17
suisse,typhon,24
taiwan,cyclone,13
taiwan,innondation,4
taiwan,ouragan,7
taiwan,seisme,20
taiwan,typhon,170
thailande,cyclone,40
thailande,innondation,36
thailande,inondation,2
thailande,ouragan,12
thailande,seisme,27
thailande,typhon,24
turquie,cyclone,13
turquie,innondation,11
turquie,inondation,2
turquie,ouragan,10
turquie,seisme,56
turquie,typhon,9
ukraine,cyclone,11
ukraine,innondation,1
ukraine,inondation,1
ukraine,ouragan,15
ukraine,seisme,8
ukraine,tremblement de terre,2
ukraine,typhon,13
vanuatu,cyclone,93
vanuatu,innondation,1
vanuatu,inondation,1
vanuatu,ouragan,4
vanuatu,seisme,10
vanuatu,typhon,12
venezuela,cyclone,5
venezuela,ouragan,45
venezuela,seisme,9
venezuela,typhon,12
