1999,1
2000,84
2001,128
2002,82
2003,84
2004,167
2005,476
2006,177
2007,197
2008,602
2009,292
2010,787
2011,1016
2012,1045
2013,1182
2014,902
2015,792
2016,914
2017,1701
2018,103
