roumanie,45.943161,24.96676,2017,66339
royaumeuni,55.378051,-3.435973,2000,15960
royaumeuni,55.378051,-3.435973,2017,323190
singapour,1.352083,103.819836,2000,6636
singapour,1.352083,103.819836,2017,134379
suisse,46.818188,8.227512,2000,15120
suisse,46.818188,8.227512,2017,306180
taiwan,23.69781,120.960515,2000,18984
taiwan,23.69781,120.960515,2017,384426
thailande,15.870032,100.992541,2000,12516
thailande,15.870032,100.992541,2017,253449
turquie,38.963745,35.243322,2000,9828
turquie,38.963745,35.243322,2017,199017
ukraine,48.379433,31.16558,2000,5544
ukraine,48.379433,31.16558,2017,112266
vanuatu,-15.376706,166.959158,2000,10752
vanuatu,-15.376706,166.959158,2017,217728
venezuela,6.42375,-66.58973,2000,6384
venezuela,6.42375,-66.58973,2017,129276
